Booking ID,Customer ID,Customer Name,Booking Type,Booking Date,Status,Class Type,Instructor,Time Slot,Duration (mins),Price,Facility,Theme,Service Name,Service Type,Customer Email,Customer Phone,Revenue,Month,Monthly Revenue
279d92c6-ce26-47c0-8915-e45b77fe20e2,00901ce3-3d86-4c97-bca2-40ccac2fb99f,Customer 1,Facility,2025-05-30,Pending,Unknown,Unknown,1900-01-01 10:00:00,90.0,42.74,Party Room,Unknown,Party Room,Facility,customer1@example.com,001-730-9034,3846.6000000000004,May,2207105.25
2100024b-46fc-47b5-ac1c-047d007a4723,6bbb6e83-9577-4f64-80b0-f073132d18f3,Customer 3,Birthday Party,2025-05-09,Confirmed,Unknown,Unknown,1900-01-01 11:00:00,120.0,207.5,Play Area,Unknown,Play Area,Facility,customer3@example.com,001-880-7769,24900.0,May,2207105.25
74936def-088f-4d34-bad1-dfa76f78b704,f16f5beb-6a7d-4493-a19e-a30dbbd206e9,Customer 4,Birthday Party,2025-06-07,Pending,Unknown,Unknown,1900-01-01 12:00:00,90.0,203.2,Play Area,Unknown,Play Area,Birthday Party,customer4@example.com,001-491-3107,18288.0,June,2142664.65
6272b4e7-a508-4ed7-bae0-21f7293287a8,eb297435-93d1-4e65-8dd4-6450922305cb,Customer 5,Class,2025-04-13,Pending,Art,Unknown,1900-01-01 15:00:00,120.0,161.14,Unknown,Unknown,Art,Class,customer5@example.com,001-718-3794,19336.8,April,2672629.05
6fe4a4d1-8533-4981-acd5-860b9c381639,7d3d0421-66b7-434a-9357-ea2d222deab4,Customer 6,Birthday Party,2025-05-10,Confirmed,Unknown,Unknown,1900-01-01 11:00:00,45.0,278.07,Party Room,Sports,Party Room,Facility,customer6@example.com,001-251-7580,12513.15,May,2207105.25
13e526c2-f8cc-463d-8ce5-2a6652dcc7c0,87ebdecd-4a9d-4a99-84da-fec3e0167563,Customer 10,Facility,2025-06-02,Pending,Unknown,Unknown,1900-01-01 16:00:00,90.0,44.41,Play Area,Unknown,Play Area,Facility,customer10@example.com,001-630-4888,3996.8999999999996,June,2142664.65
fb5092f9-f7ac-4144-b477-0650c88134a4,22addcce-0a6c-4be1-b7ec-11320beb6739,Customer 12,Class,2025-04-20,Pending,Dance,Unknown,1900-01-01 13:00:00,45.0,186.42,Unknown,Unknown,Dance,Class,customer12@example.com,001-573-4385,8388.9,April,2672629.05
74b8102e-eef6-4774-a134-5a3d0d012c3d,6a0d66d3-24b1-4eb5-8f6f-b9893eb57701,Customer 14,Class,2025-06-04,Pending,Art,Amanda Davis,1900-01-01 16:00:00,120.0,83.48,Unknown,Unknown,Art,Class,customer14@example.com,001-189-3447,10017.6,June,2142664.65
e8e2f341-6a4f-43b5-aee5-0b35878474cd,489a4949-b903-4f4f-8bdb-17a0a7553d35,Customer 16,Class,2025-05-10,Confirmed,Art,Amanda Davis,1900-01-01 10:00:00,90.0,30.53,Unknown,Unknown,Art,Class,customer16@example.com,001-705-1308,2747.7000000000003,May,2207105.25
c34016f8-4a55-4b01-b3d0-90799d6f1fbb,90c40046-fa6c-4b7b-9d68-301e17a7faad,Customer 18,Facility,2025-04-25,Confirmed,Unknown,Unknown,1900-01-01 09:00:00,120.0,0.0,Party Room,Unknown,Party Room,Facility,customer18@example.com,001-586-2644,0.0,April,2672629.05
1321e371-eafa-448a-82cf-e5ba33490663,0854bc74-b7ff-4fcb-ba32-3ffbf26f19f1,Customer 21,Birthday Party,2025-05-13,Confirmed,Unknown,Unknown,1900-01-01 11:00:00,90.0,150.79,Play Area,Unknown,Play Area,Birthday Party,customer21@example.com,001-763-2184,13571.099999999999,May,2207105.25
90662fb0-58f0-41ed-b6cf-cedaea6bc8a1,9b2e9482-8e0d-40db-bc83-2da11216509c,Customer 22,Class,2025-05-20,Confirmed,Dance,Lisa Hensley,1900-01-01 11:00:00,45.0,162.42,Unknown,Unknown,Dance,Class,customer22@example.com,001-182-1792,7308.9,May,2207105.25
b15b65c4-2016-41ce-be0a-56b41ebaaf28,4934ba20-a4ef-4e8e-8a05-e4171467bea3,Customer 23,Class,2025-03-30,Pending,Art,James Howard,1900-01-01 12:00:00,120.0,116.0,Unknown,Unknown,Art,Class,customer23@example.com,001-645-5445,13920.0,March,567941.25
848fd0b9-4dee-427e-9f2c-09cf897506ec,35ea8543-ca57-497d-ba94-678a336fb684,Customer 24,Birthday Party,2025-06-10,Pending,Unknown,Unknown,1900-01-01 09:00:00,120.0,135.43,Play Area,Princess,Play Area,Facility,customer24@example.com,001-433-1010,16251.6,June,2142664.65
0ee73daa-d065-4747-8a65-7b9e07e06111,dbc61957-874b-4c9a-9446-5ca7d14a4748,Customer 25,Birthday Party,2025-06-03,Pending,Unknown,Unknown,1900-01-01 10:00:00,90.0,120.73,Party Room,Unknown,Party Room,Birthday Party,customer25@example.com,001-967-5694,10865.7,June,2142664.65
4fe3fc55-bb91-44dc-aef3-11a55c2dce53,a109b309-eee6-4bf1-b314-487febc058ea,Customer 28,Class,2025-04-26,Pending,Dance,Amanda Davis,1900-01-01 13:00:00,120.0,298.54,Unknown,Unknown,Dance,Class,customer28@example.com,001-720-8174,35824.8,April,2672629.05
f822f117-2c8c-4256-8aee-63b58117e355,80bd830d-ef9a-4627-8229-c5a313adef20,Customer 29,Class,2025-04-24,Pending,Art,James Howard,1900-01-01 16:00:00,45.0,276.61,Unknown,Unknown,Art,Class,customer29@example.com,001-690-9240,12447.45,April,2672629.05
fdfd580d-ec70-43fe-a3a6-77848410f5e6,6f05bf26-7ee4-4f63-8cd7-d9547ff29ce4,Customer 31,Class,2025-05-19,Confirmed,Art,Amanda Davis,1900-01-01 15:00:00,120.0,0.0,Unknown,Unknown,Art,Birthday Party,customer31@example.com,001-684-6789,0.0,May,2207105.25
614b8a03-ec7c-45bf-8d7c-4fb1890b5998,882fde5e-f968-4e9f-8578-04a2bea4c955,Customer 34,Facility,2025-06-15,Pending,Unknown,Unknown,1900-01-01 13:00:00,45.0,215.14,Party Room,Unknown,Party Room,Facility,customer34@example.com,001-433-5548,9681.3,June,2142664.65
9acfb5f4-4a6b-46b1-89c7-65a66120f184,72bf408b-7f78-4fd3-a920-325954cc7705,Customer 36,Birthday Party,2025-05-10,Pending,Unknown,Unknown,1900-01-01 13:00:00,45.0,296.34,Play Area,Superhero,Play Area,Birthday Party,customer36@example.com,001-974-2553,13335.3,May,2207105.25
be79c741-f4a8-4ff9-ad86-24c4ed5ccf9f,17da2c37-aa3d-446f-998e-5e189e7f5328,Customer 38,Facility,2025-04-27,Pending,Unknown,Unknown,1900-01-01 16:00:00,90.0,49.57,Party Room,Unknown,Party Room,Facility,customer38@example.com,001-212-9920,4461.3,April,2672629.05
ea87a7da-1a3d-4c13-841d-930b6f4b4836,512e4974-9244-4deb-b1d2-ba82dc19b120,Customer 39,Facility,2025-03-28,Pending,Unknown,Unknown,1900-01-01 10:00:00,45.0,174.04,Play Area,Unknown,Play Area,Facility,customer39@example.com,001-230-1959,7831.799999999999,March,567941.25
faf970c8-b0f4-40d4-9a8d-6d73abd5240c,258e2aa6-253e-4b5f-a1b4-1922550881e0,Customer 41,Facility,2025-03-25,Pending,Unknown,Unknown,1900-01-01 09:00:00,120.0,43.11,Play Area,Unknown,Play Area,Facility,customer41@example.com,001-741-9047,5173.2,March,567941.25
